respondent,createtime,id,buttonname,visibleLayers,zoomLevel,shape,longitude,latitude,highdensity_apartments,highdensity_singlefamily,ruraldensity_lessthan10,ruraldensity_10plus,recreation,small_business,commercial_business,workforce_housing,accessory_apartments,other,if_other_text
296,2016-03-16T14:49:52.369Z,368,Areas Appropriate for Development,"Google Hybrid, Conservation Land, Newfound Lake Watershed",12,POINT,-71.812134,43.681777,0,1,0,0,0,0,0,0,0,0,
301,2016-03-16T15:14:02.469Z,385,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",14,POINT,-71.742954,43.65092,0,1,1,0,1,0,0,0,0,0,"I don't support development in the region but if it must happen, this might be an appropriate location."
301,2016-03-16T15:15:01.481Z,386,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",14,POINT,-71.74819,43.620481,1,1,1,0,1,0,0,0,0,0,
301,2016-03-16T15:15:28.849Z,387,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",14,POINT,-71.76321,43.707035,1,1,1,1,0,0,0,0,0,0,
301,2016-03-16T15:15:50.789Z,388,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",14,POINT,-71.766644,43.696486,1,1,1,1,1,1,0,0,0,0,
318,2016-03-16T19:51:24.914Z,412,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.779518,43.659924,0,0,0,0,0,0,0,0,0,0,NONE!  There has been too much development already.  We need to look at how Squam Lake has been able to remain less developed.
321,2016-03-16T19:52:32.957Z,415,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.790848,43.690467,0,1,0,0,0,0,0,0,0,0,
319,2016-03-16T20:04:34.767Z,442,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.734886,43.597549,1,1,0,0,1,1,1,0,0,0,
319,2016-03-16T20:05:19.839Z,443,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.688881,43.602273,1,0,0,0,1,1,1,0,0,0,
319,2016-03-16T20:05:53.272Z,444,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.683044,43.753489,1,1,0,0,1,1,1,0,0,0,
319,2016-03-16T20:06:27.087Z,445,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.629829,43.60451,0,0,0,0,1,1,0,0,0,0,
319,2016-03-16T20:07:06.576Z,446,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.756172,43.582878,1,0,0,0,1,1,1,0,0,0,
327,2016-03-16T20:24:46.145Z,450,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.743813,43.670901,0,0,1,0,0,1,1,0,0,1,No heavy industrial manufacturing
327,2016-03-16T20:28:23.829Z,451,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.730904,43.640995,0,0,1,0,0,1,1,0,1,1,No manufacturing
327,2016-03-16T20:46:19.282Z,456,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",16,POINT,-71.783316,43.605859,,,,,,,,,,,
343,2016-03-16T21:57:20.996Z,464,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",11,POINT,-71.946716,43.561486,0,0,1,0,1,1,0,1,0,0,
367,2016-03-17T16:10:46.011Z,486,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.779175,43.659986,0,0,0,0,0,0,0,0,0,0,the lake shore is already developed. Are sewage and septic systems up to code
368,2016-03-17T16:14:43.279Z,492,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.794968,43.585613,0,0,0,0,1,1,1,0,0,0,
361,2016-03-17T22:49:51.233Z,499,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.791534,43.612714,0,1,1,1,0,1,0,0,0,0,
361,2016-03-17T22:50:39.633Z,500,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.813507,43.682274,0,0,0,1,0,0,0,0,0,0,
361,2016-03-17T22:51:06.498Z,501,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.720467,43.652224,0,0,1,1,0,0,0,0,0,0,
388,2016-03-18T14:32:58.434Z,509,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.819,43.59929,0,0,0,0,0,0,0,0,0,0,"Development is not inappropriate anywhere.  Appropriate development means not destroying large viewsheds, means  not affecting water qualities in streams and lake, and means nor overall demeaning the  public's view of our rural aesthetic quality of landscape which brings us here. and lake"
391,2016-03-18T15:27:58.030Z,510,Areas Appropriate for Development,"Google Hybrid, Conservation Land, Newfound Lake Watershed",12,POINT,-71.797028,43.688729,,,,,,,,,,,
393,2016-03-18T16:04:55.955Z,516,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.751022,43.649491,0,0,1,0,1,0,0,0,0,0,
395,2016-03-18T17:33:51.662Z,524,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.730766,43.631851,0,1,0,0,0,1,1,0,0,0,Municipal water and sewer are expanded from Bristol
395,2016-03-18T17:35:13.694Z,525,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.749306,43.623899,0,1,0,0,1,1,1,0,0,0,expand municipal water and sewer
395,2016-03-18T17:36:31.239Z,526,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.745186,43.603765,1,0,0,0,0,0,1,1,1,0,
428,2016-03-20T12:47:19.425Z,570,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.806297,43.683515,0,1,0,0,0,0,0,0,0,0,"Maintain development in existing village centers, rural clusters.  Low impact, visually blended with surroundings, true cluster subdivision, complement and preserve undeveloped aesthetic."
428,2016-03-20T12:49:22.081Z,571,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.802864,43.621165,0,1,0,0,0,0,0,0,0,0,"Maintain development in existing village centers, rural clusters.  Low impact, visually blended with surroundings, true cluster subdivision, complement and preserve undeveloped aesthetic"
428,2016-03-20T12:49:45.490Z,572,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.747932,43.587106,0,0,0,0,0,0,0,0,0,0,"Maintain development in existing village centers, rural clusters.  Low impact, visually blended with surroundings, true cluster subdivision, complement and preserve undeveloped aesthetic"
430,2016-03-20T16:03:31.014Z,577,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.731796,43.617685,0,0,0,0,1,1,0,0,0,0,?
441,2016-03-22T01:49:30.404Z,594,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.847565,43.703474,0,0,1,1,0,0,0,0,0,0,
441,2016-03-22T01:49:56.026Z,595,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.863598,43.740617,0,1,1,1,0,0,0,0,0,0,
457,2016-03-24T15:29:12.782Z,624,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.740208,43.617809,0,1,0,0,0,1,1,1,0,0,This area could be made into a village to support people coming to the lake. 
480,2016-03-24T15:38:52.584Z,638,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.737976,43.611844,0,0,0,0,1,1,1,0,0,0,
480,2016-03-24T15:39:58.702Z,640,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",14,POINT,-71.870327,43.705453,0,0,0,1,1,1,0,0,0,0,
514,2016-03-24T16:22:18.130Z,699,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.79114,43.628123,0,0,1,0,0,0,0,0,0,0,
514,2016-03-24T16:23:08.955Z,702,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.757985,43.621306,0,0,1,0,0,0,0,0,0,0,
516,2016-03-24T16:26:19.199Z,712,Areas Appropriate for Development,"Google Hybrid, Conservation Land, Newfound Lake Watershed",12,POINT,-71.736259,43.589592,0,0,0,0,1,1,0,1,0,0,
509,2016-03-24T16:36:31.985Z,722,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.733856,43.621662,0,0,0,1,0,1,1,0,0,0,
533,2016-03-24T17:03:22.514Z,741,Areas Appropriate for Development,"Roads and Terrain, Newfound Lake Watershed, Conservation Land",12,POINT,-71.744328,43.60016,0,0,0,0,0,1,0,0,0,0,
527,2016-03-24T17:40:23.132Z,757,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.779175,43.659986,,,,,,,,,,,
558,2016-03-24T18:16:35.313Z,763,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.738319,43.687488,,,,,,,,,,,
558,2016-03-24T18:18:44.286Z,764,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",11,POINT,-71.739349,43.593819,0,0,0,0,0,1,0,0,0,0,
571,2016-03-24T19:18:21.671Z,767,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.671028,43.635827,0,1,0,0,0,0,0,0,0,0,
510,2016-03-24T19:54:28.327Z,769,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",13,POINT,-71.728689,43.638908,0,0,0,0,0,1,1,0,0,0,No manufacturing or heavy industry
510,2016-03-24T19:58:10.218Z,770,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",16,POINT,-71.737133,43.64973,1,0,0,0,0,1,0,0,1,0,
510,2016-03-24T20:03:17.968Z,771,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",17,POINT,-71.754544,43.626921,0,1,0,0,0,0,0,0,0,0,
590,2016-03-24T21:13:10.493Z,783,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.731453,43.592079,1,1,0,0,1,1,0,0,0,0,
596,2016-03-24T21:38:01.260Z,786,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.779175,43.659986,0,0,1,1,1,1,0,1,1,0,
611,2016-03-25T01:45:02.524Z,801,Areas Appropriate for Development,"Google Hybrid, Conservation Land, Newfound Lake Watershed",12,POINT,-71.796684,43.610477,0,0,1,0,0,1,0,0,0,0,
615,2016-03-25T03:24:07.160Z,802,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.779175,43.659986,,,,,,,,,,,
618,2016-03-25T09:20:58.681Z,806,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.728363,43.624396,0,1,1,0,0,1,0,0,0,0,
620,2016-03-25T11:52:39.254Z,809,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.779175,43.659986,,,,,,,,,,,
626,2016-03-25T13:28:45.849Z,814,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.770935,43.645765,0,0,1,0,1,1,0,0,0,0,
653,2016-03-25T23:40:04.537Z,853,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.779175,43.659924,,,,,,,,,,,
693,2016-03-29T01:26:25.472Z,931,Areas Appropriate for Development,"Google Hybrid, Conservation Land, Newfound Lake Watershed",12,POINT,-71.751022,43.582132,1,0,0,0,0,1,1,1,1,0,
693,2016-03-29T01:28:01.777Z,932,Areas Appropriate for Development,"Google Hybrid, Conservation Land, Newfound Lake Watershed",12,POINT,-71.712914,43.604013,1,0,0,0,0,1,1,1,1,0,
