respondent,education,Select your age range,Gender,NLRA_Member,NH_Resident_Yes2
506,Bachelors,65 - 84 years,Male,Yes,Yes
507,Bachelors,65 - 84 years,Female,Yes,Yes
509,Masters,65 - 84 years,Male,Yes,Yes
510,Bachelors,65 - 84 years,Male,Yes,Yes
511,,85 years and over,,,
514,Masters,65 - 84 years,Male,No,Yes
516,Bachelors,45 - 64  years,Female,No,Yes
527,High School,65 - 84 years,Female,No,Yes
529,PhD or Higher,65 - 84 years,Male,Yes,No
532,Bachelors,45 - 64  years,Male,Yes,No
533,Bachelors,45 - 64  years,Female,Yes,No
535,Bachelors,45 - 64  years,Female,Yes,No
540,Bachelors,45 - 64  years,Female,Yes,Yes
558,Bachelors,45 - 64  years,Female,Yes,No
559,Masters,65 - 84 years,Male,Yes,No
565,Bachelors,25 - 44 years,Male,No,No
567,PhD or Higher,45 - 64  years,Female,Yes,Yes
571,Masters,65 - 84 years,Male,Yes,No
572,Masters,25 - 44 years,Male,No,Yes
585,Masters,65 - 84 years,Male,Yes,Yes
589,Associates,45 - 64  years,Female,Yes,Yes
590,PhD or Higher,65 - 84 years,Male,Yes,No
595,Associates,65 - 84 years,Female,Yes,Yes
596,High School,65 - 84 years,Female,No,Yes
603,Masters,65 - 84 years,Male,Yes,No
605,Masters,65 - 84 years,Male,Yes,No
611,Bachelors,65 - 84 years,Male,Yes,No
612,Masters,45 - 64  years,Male,Yes,No
618,Masters,45 - 64  years,Female,Yes,Yes
620,Bachelors,45 - 64  years,Female,Yes,Yes
626,Masters,65 - 84 years,Male,Yes,Yes
630,Masters,65 - 84 years,Female,Yes,No
635,,85 years and over,Male,No,Yes
643,Masters,45 - 64  years,,Yes,No
649,Bachelors,65 - 84 years,Male,Yes,Yes
653,,65 - 84 years,Male,Yes,Yes
655,Masters,65 - 84 years,Male,Yes,Yes
663,Bachelors,25 - 44 years,Female,No,Yes
670,Masters,65 - 84 years,Male,Yes,No
678,Associates,45 - 64  years,Male,Yes,No
681,Masters,45 - 64  years,Male,No,No
683,Masters,45 - 64  years,Male,No,Yes
693,Bachelors,65 - 84 years,Female,Yes,Yes
695,Masters,45 - 64  years,Female,Yes,No
699,Bachelors,45 - 64  years,Female,No,Yes
