"","respondent","education","Select.your.age.range","Gender","NLRA_Member","NH_Resident_Yes2","createtime","id","buttonname","visibleLayers","zoomLevel","shape","longitude","latitude","highdensity_apartments","highdensity_singlefamily","ruraldensity_lessthan10","ruraldensity_10plus","recreation","small_business","commercial_business","workforce_housing","accessory_apartments","other","if_other_text"
"14",164,"Bachelors","45 - 64  years","Female","No","Yes","2016-03-15T23:15:55.456Z",234,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",16,"POINT",-71.810705,43.664454,0,0,0,0,0,0,0,0,0,1,""
"15",164,"Bachelors","45 - 64  years","Female","No","Yes","2016-03-15T23:12:58.416Z",229,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",15,"POINT",-71.757751,43.72309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"16",164,"Bachelors","45 - 64  years","Female","No","Yes","2016-03-15T23:16:58.116Z",237,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",16,"POINT",-71.817739,43.649662,0,0,0,0,0,0,0,0,0,1,""
"17",164,"Bachelors","45 - 64  years","Female","No","Yes","2016-03-15T23:14:35.139Z",233,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",15,"POINT",-71.829283,43.677159,0,0,0,0,0,0,0,0,0,1,""
"18",164,"Bachelors","45 - 64  years","Female","No","Yes","2016-03-15T23:16:05.824Z",235,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",16,"POINT",-71.802207,43.661793,0,0,0,0,0,0,0,0,0,1,""
"19",164,"Bachelors","45 - 64  years","Female","No","Yes","2016-03-15T23:21:45.605Z",240,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",14,"POINT",-71.699421,43.638423,0,0,0,0,0,0,0,0,0,1,""
"20",181,"Bachelors","45 - 64  years","Female","No","Yes","2016-03-15T23:42:19.680Z",257,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.779261,43.659986,0,0,1,0,1,1,0,0,0,0,""
"21",182,NA,NA,NA,NA,NA,"2016-03-15T23:42:12.060Z",256,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.760979,43.635827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"22",193,"High School","45 - 64  years","Female","No","Yes","2016-03-16T00:16:42.833Z",272,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.828464,43.640331,0,0,0,1,0,0,0,0,0,0,"No ""industrial"" development should be permitted within or around the watershed. Only small scale, rural development."
"23",264,"PhD or Higher","65 - 84 years","Female","Yes","Yes","2016-03-16T13:05:44.586Z",336,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.779175,43.659986,0,0,0,0,0,0,0,0,0,0,"Each area has its own set of circumstanc each parcel should be viewed separately and not lumped together,each parcel is unique"
"24",277,NA,NA,NA,NA,NA,"2016-03-16T13:29:14.516Z",344,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.779261,43.659986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"25",281,"Bachelors","45 - 64  years","Male","No","Yes","2016-03-16T13:52:28.492Z",347,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.683731,43.604759,0,0,1,0,0,1,0,0,0,0,""
"26",281,"Bachelors","45 - 64  years","Male","No","Yes","2016-03-16T13:53:42.137Z",348,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.764069,43.716527,0,0,1,0,0,1,0,0,0,0,""
"27",296,"Bachelors","65 - 84 years","Male","Yes","No","2016-03-16T14:49:52.369Z",368,"Areas Appropriate for Development","Google Hybrid, Conservation Land, Newfound Lake Watershed",12,"POINT",-71.812134,43.681777,0,1,0,0,0,0,0,0,0,0,""
"28",301,"Masters","25 - 44 years","Male","Yes","Yes","2016-03-16T15:15:01.481Z",386,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",14,"POINT",-71.74819,43.620481,1,1,1,0,1,0,0,0,0,0,""
"29",301,"Masters","25 - 44 years","Male","Yes","Yes","2016-03-16T15:15:28.849Z",387,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",14,"POINT",-71.76321,43.707035,1,1,1,1,0,0,0,0,0,0,""
"30",301,"Masters","25 - 44 years","Male","Yes","Yes","2016-03-16T15:15:50.789Z",388,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",14,"POINT",-71.766644,43.696486,1,1,1,1,1,1,0,0,0,0,""
"31",301,"Masters","25 - 44 years","Male","Yes","Yes","2016-03-16T15:14:02.469Z",385,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",14,"POINT",-71.742954,43.65092,0,1,1,0,1,0,0,0,0,0,"I don't support development in the region but if it must happen, this might be an appropriate location."
"32",318,"Bachelors","45 - 64  years","Female","Yes","No","2016-03-16T19:51:24.914Z",412,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.779518,43.659924,0,0,0,0,0,0,0,0,0,0,"NONE!  There has been too much development already.  We need to look at how Squam Lake has been able to remain less developed."
"33",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T20:07:06.576Z",446,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.756172,43.582878,1,0,0,0,1,1,1,0,0,0,""
"34",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T20:05:19.839Z",443,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.688881,43.602273,1,0,0,0,1,1,1,0,0,0,""
"35",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T20:04:34.767Z",442,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.734886,43.597549,1,1,0,0,1,1,1,0,0,0,""
"36",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T20:05:53.272Z",444,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.683044,43.753489,1,1,0,0,1,1,1,0,0,0,""
"37",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T20:06:27.087Z",445,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.629829,43.60451,0,0,0,0,1,1,0,0,0,0,""
"38",321,"Bachelors","65 - 84 years","Male","Yes","No","2016-03-16T19:52:32.957Z",415,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.790848,43.690467,0,1,0,0,0,0,0,0,0,0,""
"39",327,NA,NA,NA,NA,NA,"2016-03-16T20:28:23.829Z",451,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.730904,43.640995,0,0,1,0,0,1,1,0,1,1,"No manufacturing"
"40",327,NA,NA,NA,NA,NA,"2016-03-16T20:46:19.282Z",456,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",16,"POINT",-71.783316,43.605859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"41",327,NA,NA,NA,NA,NA,"2016-03-16T20:24:46.145Z",450,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.743813,43.670901,0,0,1,0,0,1,1,0,0,1,"No heavy industrial manufacturing"
"42",343,"Masters","45 - 64  years","Male","Yes","No","2016-03-16T21:57:20.996Z",464,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",11,"POINT",-71.946716,43.561486,0,0,1,0,1,1,0,1,0,0,""
"43",361,NA,NA,NA,NA,NA,"2016-03-17T22:51:06.498Z",501,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.720467,43.652224,0,0,1,1,0,0,0,0,0,0,""
"44",361,NA,NA,NA,NA,NA,"2016-03-17T22:49:51.233Z",499,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.791534,43.612714,0,1,1,1,0,1,0,0,0,0,""
"45",361,NA,NA,NA,NA,NA,"2016-03-17T22:50:39.633Z",500,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.813507,43.682274,0,0,0,1,0,0,0,0,0,0,""
"46",367,"Bachelors","65 - 84 years","Male","No","Yes","2016-03-17T16:10:46.011Z",486,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.779175,43.659986,0,0,0,0,0,0,0,0,0,0,"the lake shore is already developed. Are sewage and septic systems up to code"
"47",368,"Masters","65 - 84 years","Male","No","Yes","2016-03-17T16:14:43.279Z",492,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.794968,43.585613,0,0,0,0,1,1,1,0,0,0,""
"48",388,"Bachelors","65 - 84 years","Male","Yes","No","2016-03-18T14:32:58.434Z",509,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.819,43.59929,0,0,0,0,0,0,0,0,0,0,"Development is not inappropriate anywhere.  Appropriate development means not destroying large viewsheds, means  not affecting water qualities in streams and lake, and means nor overall demeaning the  public's view of our rural aesthetic quality of landscape which brings us here. and lake"
"49",391,"Associates","65 - 84 years","Male","Yes","Yes","2016-03-18T15:27:58.030Z",510,"Areas Appropriate for Development","Google Hybrid, Conservation Land, Newfound Lake Watershed",12,"POINT",-71.797028,43.688729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"50",393,"Masters","65 - 84 years","Female","Yes","No","2016-03-18T16:04:55.955Z",516,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.751022,43.649491,0,0,1,0,1,0,0,0,0,0,""
"51",395,"Bachelors","45 - 64  years","Male","Yes","Yes","2016-03-18T17:33:51.662Z",524,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.730766,43.631851,0,1,0,0,0,1,1,0,0,0,"Municipal water and sewer are expanded from Bristol"
"52",395,"Bachelors","45 - 64  years","Male","Yes","Yes","2016-03-18T17:36:31.239Z",526,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.745186,43.603765,1,0,0,0,0,0,1,1,1,0,""
"53",395,"Bachelors","45 - 64  years","Male","Yes","Yes","2016-03-18T17:35:13.694Z",525,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.749306,43.623899,0,1,0,0,1,1,1,0,0,0,"expand municipal water and sewer"
"54",428,"Masters","45 - 64  years","Male","Yes","Yes","2016-03-20T12:47:19.425Z",570,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.806297,43.683515,0,1,0,0,0,0,0,0,0,0,"Maintain development in existing village centers, rural clusters.  Low impact, visually blended with surroundings, true cluster subdivision, complement and preserve undeveloped aesthetic."
"55",428,"Masters","45 - 64  years","Male","Yes","Yes","2016-03-20T12:49:22.081Z",571,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.802864,43.621165,0,1,0,0,0,0,0,0,0,0,"Maintain development in existing village centers, rural clusters.  Low impact, visually blended with surroundings, true cluster subdivision, complement and preserve undeveloped aesthetic"
"56",428,"Masters","45 - 64  years","Male","Yes","Yes","2016-03-20T12:49:45.490Z",572,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.747932,43.587106,0,0,0,0,0,0,0,0,0,0,"Maintain development in existing village centers, rural clusters.  Low impact, visually blended with surroundings, true cluster subdivision, complement and preserve undeveloped aesthetic"
"57",430,"Bachelors","45 - 64  years","Female","Yes","No","2016-03-20T16:03:31.014Z",577,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.731796,43.617685,0,0,0,0,1,1,0,0,0,0,"?"
"58",441,"PhD or Higher","45 - 64  years","Female","Yes","Yes","2016-03-22T01:49:30.404Z",594,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.847565,43.703474,0,0,1,1,0,0,0,0,0,0,""
"59",441,"PhD or Higher","45 - 64  years","Female","Yes","Yes","2016-03-22T01:49:56.026Z",595,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.863598,43.740617,0,1,1,1,0,0,0,0,0,0,""
"60",457,"Bachelors","25 - 44 years","Male","Yes","No","2016-03-24T15:29:12.782Z",624,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.740208,43.617809,0,1,0,0,0,1,1,1,0,0,"This area could be made into a village to support people coming to the lake. "
"61",480,"PhD or Higher","45 - 64  years","Male","Yes","Yes","2016-03-24T15:39:58.702Z",640,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",14,"POINT",-71.870327,43.705453,0,0,0,1,1,1,0,0,0,0,""
"62",480,"PhD or Higher","45 - 64  years","Male","Yes","Yes","2016-03-24T15:38:52.584Z",638,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.737976,43.611844,0,0,0,0,1,1,1,0,0,0,""
"63",509,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-24T16:36:31.985Z",722,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.733856,43.621662,0,0,0,1,0,1,1,0,0,0,""
"64",510,"Bachelors","65 - 84 years","Male","Yes","Yes","2016-03-24T19:54:28.327Z",769,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",13,"POINT",-71.728689,43.638908,0,0,0,0,0,1,1,0,0,0,"No manufacturing or heavy industry"
"65",510,"Bachelors","65 - 84 years","Male","Yes","Yes","2016-03-24T19:58:10.218Z",770,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",16,"POINT",-71.737133,43.64973,1,0,0,0,0,1,0,0,1,0,""
"66",510,"Bachelors","65 - 84 years","Male","Yes","Yes","2016-03-24T20:03:17.968Z",771,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",17,"POINT",-71.754544,43.626921,0,1,0,0,0,0,0,0,0,0,""
"67",514,"Masters","65 - 84 years","Male","No","Yes","2016-03-24T16:22:18.130Z",699,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.79114,43.628123,0,0,1,0,0,0,0,0,0,0,""
"68",514,"Masters","65 - 84 years","Male","No","Yes","2016-03-24T16:23:08.955Z",702,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.757985,43.621306,0,0,1,0,0,0,0,0,0,0,""
"69",516,"Bachelors","45 - 64  years","Female","No","Yes","2016-03-24T16:26:19.199Z",712,"Areas Appropriate for Development","Google Hybrid, Conservation Land, Newfound Lake Watershed",12,"POINT",-71.736259,43.589592,0,0,0,0,1,1,0,1,0,0,""
"70",527,"High School","65 - 84 years","Female","No","Yes","2016-03-24T17:40:23.132Z",757,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"71",533,"Bachelors","45 - 64  years","Female","Yes","No","2016-03-24T17:03:22.514Z",741,"Areas Appropriate for Development","Roads and Terrain, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.744328,43.60016,0,0,0,0,0,1,0,0,0,0,""
"72",558,"Bachelors","45 - 64  years","Female","Yes","No","2016-03-24T18:16:35.313Z",763,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.738319,43.687488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"73",558,"Bachelors","45 - 64  years","Female","Yes","No","2016-03-24T18:18:44.286Z",764,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",11,"POINT",-71.739349,43.593819,0,0,0,0,0,1,0,0,0,0,""
"74",571,"Masters","65 - 84 years","Male","Yes","No","2016-03-24T19:18:21.671Z",767,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.671028,43.635827,0,1,0,0,0,0,0,0,0,0,""
"75",590,"PhD or Higher","65 - 84 years","Male","Yes","No","2016-03-24T21:13:10.493Z",783,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.731453,43.592079,1,1,0,0,1,1,0,0,0,0,""
"76",596,"High School","65 - 84 years","Female","No","Yes","2016-03-24T21:38:01.260Z",786,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.779175,43.659986,0,0,1,1,1,1,0,1,1,0,""
"77",611,"Bachelors","65 - 84 years","Male","Yes","No","2016-03-25T01:45:02.524Z",801,"Areas Appropriate for Development","Google Hybrid, Conservation Land, Newfound Lake Watershed",12,"POINT",-71.796684,43.610477,0,0,1,0,0,1,0,0,0,0,""
"78",615,NA,NA,NA,NA,NA,"2016-03-25T03:24:07.160Z",802,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"79",618,"Masters","45 - 64  years","Female","Yes","Yes","2016-03-25T09:20:58.681Z",806,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.728363,43.624396,0,1,1,0,0,1,0,0,0,0,""
"80",620,"Bachelors","45 - 64  years","Female","Yes","Yes","2016-03-25T11:52:39.254Z",809,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"81",626,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-25T13:28:45.849Z",814,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.770935,43.645765,0,0,1,0,1,1,0,0,0,0,""
"82",653,"","65 - 84 years","Male","Yes","Yes","2016-03-25T23:40:04.537Z",853,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.779175,43.659924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"83",693,"Bachelors","65 - 84 years","Female","Yes","Yes","2016-03-29T01:26:25.472Z",931,"Areas Appropriate for Development","Google Hybrid, Conservation Land, Newfound Lake Watershed",12,"POINT",-71.751022,43.582132,1,0,0,0,0,1,1,1,1,0,""
"84",693,"Bachelors","65 - 84 years","Female","Yes","Yes","2016-03-29T01:28:01.777Z",932,"Areas Appropriate for Development","Google Hybrid, Conservation Land, Newfound Lake Watershed",12,"POINT",-71.712914,43.604013,1,0,0,0,0,1,1,1,1,0,""
