respondent,createtime,id,buttonname,visibleLayers,zoomLevel,shape,longtitude,latitude,soil_quality_not_threatened,soil_quality_slightly,soil_quality_moderate,soil_quality_highly,waterquality_not,waterquality_slightly,waterquality_moderately,waterquality_highly,wildlife_not_threatened,wildlife_slightly,wildlife_moderately,wildlife_highly,recreation_not_threatened,recreation_slightly,recreation_moderately,recreation_highly,scenic_not,scenic_slightly,scenic_moderately,scenic_highly,tourism_not,tourism_slightly,tourism_moderately,tourism_highly,business_not,business_slightly,business_moderately,business_highly,rural_not,rural_slightly,rural_moderately,rural_highly,other_not,other_slightly,other_moderately,other_highly,If_other_text
106,2016-03-15T21:27:07.922Z,127,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779261,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2016-03-15T21:27:46.188Z,129,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.77763,43.647628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2016-03-15T21:31:19.402Z,134,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779175,43.659924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2016-03-15T21:34:16.241Z,138,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",14,POINT,-71.772223,43.63974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2016-03-15T21:31:14.430Z,133,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",13,POINT,-71.717377,43.660545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2016-03-15T21:33:39.509Z,137,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.735663,43.618089,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Septic systems at the foot of the lake are probably over fifty years old. In some cases small cottages have been added to and more bedrooms built thus putting a strain on outdated systems. There is a noticeable difference to the sand under the water, it now feels tacky underfoot. This is cause for concern."
111,2016-03-15T21:40:32.909Z,147,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.735663,43.618089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2016-03-15T21:41:05.064Z,148,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.730323,43.625213,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,More homes being built on high ridge lines about the lake and clearing trees and vegetation. This causes runoff of soil and in some cases pesticides or fertilizer directly into streams and rivers. This material then enters the lake and affects water clarity and ph.
112,2016-03-15T21:33:25.361Z,136,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779175,43.659924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2016-03-15T21:32:41.431Z,135,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779175,43.659986,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,
114,2016-03-15T21:34:26.932Z,139,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779175,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2016-03-15T21:39:09.990Z,143,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.804581,43.672093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2016-03-15T21:39:31.357Z,144,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.728706,43.67408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2016-03-15T21:40:26.654Z,146,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.788445,43.623402,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,
122,2016-03-15T21:40:19.135Z,145,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",13,POINT,-71.773338,43.643777,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
122,2016-03-15T21:41:38.214Z,149,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",13,POINT,-71.720295,43.66514,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,
122,2016-03-15T21:43:31.594Z,153,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",14,POINT,-71.905861,43.629242,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,
122,2016-03-15T21:44:57.181Z,155,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.81076,43.758945,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,
122,2016-03-15T21:45:41.613Z,156,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.776772,43.700644,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,
122,2016-03-15T21:46:45.787Z,157,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.737976,43.689474,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,
122,2016-03-15T21:47:25.462Z,159,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.712227,43.643281,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,
122,2016-03-15T21:48:32.875Z,161,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.884575,43.615448,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,
122,2016-03-15T21:50:33.544Z,164,Threats to the Landscape,"Roads and Terrain, Newfound Lake Watershed",13,POINT,-71.841831,43.645765,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,
122,2016-03-15T21:52:21.299Z,166,Threats to the Landscape,"Roads and Terrain, Newfound Lake Watershed",12,POINT,-71.814194,43.698907,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,
122,2016-03-15T21:53:46.099Z,167,Threats to the Landscape,"Roads and Terrain, Newfound Lake Watershed",12,POINT,-71.790504,43.593571,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,
126,2016-03-15T21:47:01.569Z,158,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.798401,43.672044,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,
126,2016-03-15T21:47:58.651Z,160,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.736877,43.666282,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
126,2016-03-15T21:49:06.161Z,162,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.826553,43.728834,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,
130,2016-03-15T21:54:12.993Z,168,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.897278,43.694687,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,
130,2016-03-15T21:55:17.094Z,169,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.872215,43.686246,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
130,2016-03-15T21:55:55.799Z,170,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.844406,43.693197,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
130,2016-03-15T21:58:09.573Z,173,Threats to the Landscape,"Roads and Terrain, Newfound Lake Watershed",14,POINT,-71.881828,43.696052,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
130,2016-03-15T21:58:59.980Z,175,Threats to the Landscape,"Roads and Terrain, Newfound Lake Watershed",14,POINT,-71.898909,43.704615,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
130,2016-03-15T22:00:02.882Z,178,Threats to the Landscape,"Roads and Terrain, Newfound Lake Watershed",12,POINT,-71.866722,43.696921,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
130,2016-03-15T22:01:05.281Z,179,Threats to the Landscape,"Roads and Terrain, Newfound Lake Watershed",12,POINT,-71.903458,43.721738,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
131,2016-03-15T22:04:28.650Z,189,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779518,43.701389,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
131,2016-03-15T22:05:20.757Z,192,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.799431,43.687984,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
131,2016-03-15T22:05:53.655Z,196,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779175,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2016-03-15T22:06:38.851Z,199,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.881828,43.688481,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,
136,2016-03-15T21:58:30.180Z,174,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",13,POINT,-71.795311,43.636448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2016-03-15T21:59:41.053Z,176,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",13,POINT,-71.778831,43.635205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2016-03-15T22:01:23.481Z,181,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",15,POINT,-71.71948,43.657751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2016-03-15T22:02:45.982Z,183,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.713257,43.659179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2016-03-15T22:03:22.964Z,186,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779175,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2016-03-15T22:03:48.931Z,187,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.831017,43.688481,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,
143,2016-03-15T22:04:29.124Z,190,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.812477,43.652472,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,The Wind Companies develop this area
143,2016-03-15T22:05:24.630Z,193,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.808357,43.636572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2016-03-15T22:05:33.574Z,194,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779175,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2016-03-15T22:06:03.455Z,197,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.785011,43.669982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2016-03-15T22:06:17.823Z,198,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.802521,43.619176,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
145,2016-03-15T22:08:48.829Z,204,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",18,POINT,-71.805686,43.699372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2016-03-15T22:14:23.021Z,205,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779261,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2016-03-15T22:19:53.112Z,207,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.872559,43.701389,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,Wind is developed on this ridge line.
148,2016-03-15T22:21:30.921Z,208,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.866379,43.674328,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,Wind is developed on this ridge line.
148,2016-03-15T22:22:41.926Z,209,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.785698,43.734143,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,"Ridge line has been blasted and roads built for Groton Wind. A high rate of erosion has been experienced and run of and sediment have fouled Tenney Brook haven a negative impact on aquatic species throughout the water shed fed by Tenney Brook.
In addition, the stripping of vegetation has negatively impacted the area visually as have been the wildlife corridors and vernal aquifers."
148,2016-03-15T22:26:44.414Z,210,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.790848,43.650982,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,"Sedimentation from property owners continually adding sand on their beaches has fouled up the shoreline changing the character of the aquatic environment.
The Ledges Brook is also carriing a lot of sediment downstream, fowling up the shoreline."
148,2016-03-15T22:29:35.197Z,211,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.808357,43.658434,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,Logging continues along Bear Hill road. The mountain side has been stripped and erosion is evident with culverts failing the run under the road. Also the sediment is being carried down to the lake at the Ledges.
148,2016-03-15T22:31:55.937Z,212,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",13,POINT,-71.790161,43.689101,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,"The Cockermouth is carriing sediment downstream and fouling up the north end of the lake affecting water quality, navigation and encouraging invasive species to take hold."
152,2016-03-15T22:33:50.364Z,213,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.787161,43.644989,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,More development
152,2016-03-15T22:36:11.024Z,215,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.733742,43.641013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2016-03-15T22:55:27.247Z,218,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.741753,43.668989,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
158,2016-03-15T22:56:28.838Z,219,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.789818,43.693694,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
158,2016-03-15T22:56:59.500Z,220,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.735229,43.615697,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
162,2016-03-15T23:04:11.812Z,227,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",13,POINT,-71.752224,43.620046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2016-03-15T23:20:58.721Z,239,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.735573,43.625141,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,
172,2016-03-15T23:29:56.898Z,243,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.791878,43.646262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,2016-03-15T23:33:36.465Z,244,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.797371,43.616442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2016-03-15T23:34:11.684Z,245,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.777115,43.659179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,2016-03-15T23:35:58.713Z,246,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779175,43.659924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,2016-03-15T23:39:40.318Z,247,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.813507,43.699651,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
179,2016-03-15T23:40:43.473Z,251,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.747246,43.618928,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
181,2016-03-15T23:40:10.194Z,249,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779261,43.659986,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,
184,2016-03-15T23:40:25.852Z,250,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.772995,43.659179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,2016-03-15T23:40:59.712Z,252,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.721153,43.639802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,2016-03-15T23:59:11.637Z,258,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.905513,43.644027,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Industrial Wind Developers are allowed to move forward in the Region.
193,2016-03-16T00:00:52.491Z,259,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.840787,43.589304,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Industrial wind developers are allowed to erect projects on Mt. Forbes, Pine Hill"
193,2016-03-16T00:02:23.862Z,261,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.90362,43.737087,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Industrial Wind project by EDP Renewables (or any other IWT developer) is allowed to move forward with the Spruce Ridge Project or any other IWT Project.
193,2016-03-16T00:05:01.161Z,264,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.868557,43.673819,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,All the of the Newfound Watershed is threatened by the potential for Industrial Wind development on any of the Ridgelines in the Region.
193,2016-03-16T00:10:06.721Z,266,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",15,POINT,-71.813399,43.594756,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clear cutting of timber
194,2016-03-16T00:01:07.786Z,260,Threats to the Landscape,"Roads and Terrain, Newfound Lake Watershed",12,POINT,-71.791534,43.719505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2016-03-16T00:02:46.223Z,262,Threats to the Landscape,"Roads and Terrain, Newfound Lake Watershed",12,POINT,-71.70948,43.658682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2016-03-16T00:04:30.679Z,263,Threats to the Landscape,"Roads and Terrain, Newfound Lake Watershed",12,POINT,-71.83342,43.663153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2016-03-16T00:12:53.813Z,268,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.731796,43.618679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
