respondent,createtime,id,buttonname,visibleLayers,zoomLevel,shape,longitude,latitude,recreation_not_important,recreation_low,recreation_medium,recreation_high,ecosystem_not_at_all,ecosystems___Low,ecosystems___Medium,ecosystems___High,economic_not_at_all,economic_low,economic_medium,economic_high,viewshed_not_at_all,viewshed_low,viewshed_medium,viewshed_high,historical_value_not_at_all,historical_value_low,historical_value_medium,historical_value_high,cultural_not_at_all,cultural_low,cultural_medium,cultural_high,other_not_at_all,other_low,other_medium,other_high,If_other_text
131,2016-03-15T22:07:18.304Z,200,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.782265,43.693694,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
131,2016-03-15T22:07:43.383Z,201,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.753769,43.699651,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
131,2016-03-15T22:07:58.185Z,202,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.804237,43.680536,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
131,2016-03-15T22:08:18.120Z,203,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.794624,43.653218,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,
131,2016-03-15T23:02:00.774Z,226,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.808014,43.610228,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,
148,2016-03-15T22:35:39.313Z,214,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.882515,43.695431,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,"Spruce ridge, Oregon, and Mowglis should be a priority as conservation targets."
148,2016-03-15T22:37:08.980Z,216,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.783638,43.729926,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,"Not addressed, this area will continue to foul up the water shed."
148,2016-03-15T22:38:08.405Z,217,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.793938,43.651479,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,Beach owners are allowed to continue dumping sand on their beaches this will become a critical problem.
158,2016-03-15T22:57:42.889Z,221,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.765099,43.682522,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,
158,2016-03-15T22:58:37.901Z,222,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.750679,43.64974,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,
165,2016-03-15T23:13:21.824Z,230,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.779261,43.659924,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,
165,2016-03-15T23:14:26.815Z,232,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.779261,43.659924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2016-03-15T23:22:13.915Z,241,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.757545,43.678301,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
166,2016-03-15T23:22:49.905Z,242,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.791878,43.64179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,2016-03-15T23:41:47.268Z,255,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.801147,43.68277,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,
181,2016-03-15T23:41:06.102Z,253,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.779261,43.659986,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
182,2016-03-15T23:41:24.422Z,254,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.779175,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,2016-03-15T23:39:43.559Z,248,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.865005,43.677556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,2016-03-16T00:11:54.318Z,267,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.889038,43.652769,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Industrial development of the Mt. Cardigan region is not beneficial.
193,2016-03-16T00:13:40.788Z,269,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.820757,43.66074,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"The Newfound Watershed provides our drinking water. None of the Newfound Watershed Region should be developed in an ""industrial"" manner. All Industrial Development will negatively affect our watershed. Without pure drinking water, we lose our health. Without health, we have no quality of life."
194,2016-03-16T00:06:05.181Z,265,Conservation Priorities,"Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.826553,43.671348,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,
203,2016-03-16T00:16:00.821Z,271,Conservation Priorities,"Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,POINT,-71.736603,43.625887,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
203,2016-03-16T00:18:19.700Z,273,Conservation Priorities,"Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,POINT,-71.760979,43.668368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2016-03-16T00:18:43.814Z,274,Conservation Priorities,"Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,POINT,-71.759605,43.673583,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
220,2016-03-16T00:54:50.786Z,284,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,POINT,-71.772909,43.63856,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,
227,2016-03-16T01:43:19.557Z,290,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.759949,43.67557,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,
227,2016-03-16T01:43:54.364Z,291,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.746559,43.623402,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,
247,2016-03-16T10:22:00.594Z,315,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.825867,43.699651,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,
247,2016-03-16T10:22:23.758Z,316,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.903801,43.674328,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,
247,2016-03-16T10:22:40.025Z,317,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.798744,43.696673,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,
247,2016-03-16T10:22:54.976Z,318,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.844063,43.711068,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,
247,2016-03-16T10:23:07.239Z,319,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.790504,43.612962,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,
247,2016-03-16T10:23:19.512Z,320,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.837196,43.624893,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,
247,2016-03-16T10:23:36.174Z,321,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.810074,43.718016,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,
247,2016-03-16T10:23:48.785Z,322,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.810417,43.683019,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,
247,2016-03-16T10:24:10.182Z,323,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.891098,43.695928,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,
247,2016-03-16T10:24:23.434Z,324,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.828613,43.600284,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,
247,2016-03-16T10:24:38.678Z,325,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.768532,43.610228,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,
264,2016-03-16T13:03:19.620Z,334,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.772652,43.609358,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
264,2016-03-16T13:04:03.901Z,335,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.771965,43.591706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Difficult to ID each area,question too broad"
277,2016-03-16T13:28:58.497Z,343,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.779261,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,2016-03-16T13:50:59.592Z,346,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.72184,43.656447,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
293,2016-03-16T14:39:03.283Z,359,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",11,POINT,-71.748276,43.631602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
295,2016-03-16T14:42:17.475Z,362,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.791534,43.619176,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,"Anything in and around the Fowler River. Look at the sediment runoff that created the shallows and shoals all of the way to Mayhew and understand that nature will takes its course, but man can accelerate it. A non-navigable section of Newfound would be a disaster for home owners on Arrowhead point (no more access) as well as Mayhew Island and Pike's Points (the only way to get to Bristol Bay would be through the channel)."
296,2016-03-16T14:46:15.372Z,366,Conservation Priorities,"Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,POINT,-71.798744,43.683764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,development of 112 acre tract is prevented
296,2016-03-16T14:47:45.019Z,367,Conservation Priorities,"Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,POINT,-71.891098,43.617685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,hill top development is prevented
301,2016-03-16T15:05:50.826Z,379,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,POINT,-71.775913,43.63533,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,The Fowler River Delta is an extremely important area to the Newfound Watershed. It must be protected.
301,2016-03-16T15:07:07.484Z,380,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,POINT,-71.803207,43.661476,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,This land should be kept as a productive timber harvesting area and not developed into housing.
301,2016-03-16T15:08:21.106Z,381,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,POINT,-71.863804,43.675011,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"This ridgeline, from the lake to Cardigan, is an historic hiking trail that should be protected."
301,2016-03-16T15:09:16.272Z,382,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,POINT,-71.835737,43.672652,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"This ridgeline, from the lake to Cardigan, is an historic hiking trail that should be protected. Also, this large connected forest is a great habitat for many animals."
301,2016-03-16T15:10:07.191Z,383,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,POINT,-71.752481,43.684695,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,This large connected forest provides habitat for many animals and acts as a filter for rain.
301,2016-03-16T15:11:32.105Z,384,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,POINT,-71.78544,43.73805,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,I support the Tenney Mountain Ski Area but we must keep a close eye on the operation to ensure that we are keeping the impact to nearby wildlife as low as possible. This could be ensured through conservation.
306,2016-03-16T15:49:03.543Z,391,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.733856,43.659527,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,"Future disturbing of the forest continues there will be more silt, etc. that flows into Newfound Lake via the small brooks and streams."
306,2016-03-16T15:51:26.930Z,392,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.745667,43.67264,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,All high areas around the lake contribute to the silting problem when they are disturbed.
306,2016-03-16T15:52:44.412Z,393,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.793457,43.673434,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,All high areas around the Lake contribute to the silting problem when they are disturbed.
306,2016-03-16T16:03:37.597Z,394,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.785217,43.642038,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,"Silt comes into the lake and degrades the water and bottom.  Also sand will continue to build up in areas like the Fowler River which will eventually affect the Newfound Marina and boat access to the Lake.  Also the ""sand bars"" in that area will eventually be so shallow they will cause a danger to boaters.  This is partly just a part of mother nature but will cause problems in the future."
316,2016-03-16T17:54:52.731Z,395,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.779175,43.660048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2016-03-16T19:46:50.622Z,401,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.779261,43.659924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2016-03-16T19:48:12.385Z,403,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",11,POINT,-71.747589,43.631602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Am so glad that Mayhew island is still a camp.  It has allowed the island to remain virtually undeveloped.  Would like to see it protected against commercial development.  
319,2016-03-16T19:47:16.471Z,402,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.799088,43.644523,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,Proliferation of motor boats is a major concern!   Water quality!
319,2016-03-16T19:48:41.319Z,405,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.898308,43.643032,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,
319,2016-03-16T19:49:11.159Z,406,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.797714,43.699899,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,
319,2016-03-16T19:49:40.823Z,407,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.811104,43.606251,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:50:06.103Z,408,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.847496,43.617934,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:50:28.079Z,409,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.749649,43.694935,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:50:58.647Z,410,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.755829,43.606251,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:51:25.847Z,413,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.800804,43.677308,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:51:51.423Z,414,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.898308,43.605505,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:52:34.701Z,416,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.692314,43.565218,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:53:00.303Z,417,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.720467,43.551534,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:53:18.991Z,418,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.757202,43.540834,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:53:37.407Z,419,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.799431,43.544567,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:54:03.471Z,420,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.822777,43.545811,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:54:32.767Z,421,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.723557,43.71082,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:55:02.176Z,422,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.94706,43.627378,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,
319,2016-03-16T19:55:31.335Z,423,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.809044,43.730422,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:55:49.847Z,424,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.689224,43.617188,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:56:13.775Z,425,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.720467,43.575168,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,
319,2016-03-16T19:56:35.039Z,426,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.660385,43.55029,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
319,2016-03-16T19:57:15.591Z,427,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.741409,43.606002,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
